coral_id,treatment,reef,percent_alive,delta_surface_area,delta_volume,delta_max_height,delta_interstitial,size_corrected_volume_growth,growth_vol_b
POC61,1,Reef_1-1,1,1385.2625120000002,2501.1918459999997,3.326403922000001,2111.6602789999997,1.4818904463876315,24.534191481553833
POC62,6,Reef_1-2,1,1135.7735850000001,2288.207808,3.1494247800000004,1243.3667580000003,1.4522084190606668,21.895854244022757
POC63,6,Reef_1-2,0.8,164.9453450000001,341.897864,-0.05473955000000075,-16.920256999999765,0.21377362339676154,11.0222137488255
POC64,6,Reef_1-2,1,594.871376,1092.4195910000003,5.771628779999999,1096.8252189999994,0.7006042121963324,15.867488297021776
POC65,6,Reef_1-2,1,707.024782,639.318874,3.4179516020000005,1186.0205889999997,0.49182615713033173,13.088132756081547
POC67,6,Reef_1-2,1,616.4254289999999,1325.499109,2.45109171,950.8574299999996,0.7216010300804739,16.824274005310183
POC69,3,Reef_1-4,1,966.5686350000001,1762.7658050000002,3.020471057,821.6075069999995,1.4152952489011452,21.389818913750133
POC70,3,Reef_1-4,1,834.564535,1877.268685,3.096415487,731.8631040000005,1.1682963291769677,22.92067582815279
POC71,3,Reef_1-4,1,741.7455460000001,1425.373265,2.6195377299999993,875.6335620000002,0.9149311170109977,18.53119930091072
POC72,1,Reef_1-5,1,562.487517,806.832296,3.63306008,670.0604830000002,0.5572264685105377,14.439131233346524
POC73,3,Reef_1-6,1,828.8137280000001,918.0101470000001,3.7408883619999997,1163.3231990000004,0.7280655015938625,15.37715273106949
POC74,3,Reef_1-6,0.85,108.15695700000015,983.3686109999999,-2.9909552799999988,-156.77492099999927,0.48896957648299527,14.98781648455428
POC75,3,Reef_1-6,1,1256.607215,1559.1851350000002,4.146685174,1869.3868040000002,1.0118725825436214,19.438981361922952
POC76,1,Reef_1-7,0.8,249.16156800000022,2691.5788250000005,-1.1548766129999999,52.23531000000003,1.4019044330907084,24.702037094785815
POC77,1,Reef_1-8,1,201.29748900000004,2490.838457,0.48468792999999977,405.8290850000012,0.8475021811947795,20.14868818644364
POC78,1,Reef_1-9,1,992.0857980000001,2227.1680659999997,5.068625989999999,1534.7896420000015,0.7828249295049136,20.295362955346214
POC80,1,Reef_2-2,1,664.5591259999999,2076.0365671,5.81275261,774.0898419000005,1.4857165108657937,29.801067736988728
POC81,1,Reef_2-3,1,168.02258600000005,445.5102587000001,3.820858876999999,-79.27843870000015,0.3746052125733047,11.731555165429182
POC82,3,Reef_2-4,1,513.5734029999999,1062.6784106999999,3.0999877730000005,631.4995903000001,0.7590037084923233,16.822666808171757
POC84,3,Reef_2-4,1,621.9487200000001,1334.2781640999997,4.419083659,1085.5522469000002,0.8761571988794763,20.74619974387526
POC86,6,Reef_2-6,1,1216.2365699999998,1992.9772234999998,5.0974022680000015,1123.3763285000002,1.3334731068429984,25.806097901307968
POC87,6,Reef_2-6,0.9,553.6696359999999,1233.2294470000002,3.3386729600000002,1343.0232850000002,0.6138350304925774,17.584057807565173
POC88,6,Reef_2-6,1,498.98111599999993,1278.1696247,1.9739090909999994,618.4730423000003,1.140648315289733,20.697045487752398
POC89,6,Reef_2-6,1,704.8744700000002,1660.551056,3.913992010000001,857.9198089999998,1.0412920426975858,20.777418361690753
POC91,6,Reef_2-6,1,478.0982670000001,768.3000426,6.5892772,717.6352204000004,0.5967297348292349,14.76749532572548
POC92,1,Reef_2-7,0.95,645.544723,1617.5923679999999,2.7174551099999995,1302.7103610000004,0.8236090945954226,19.066670954324763
POC93,1,Reef_2-8,1,390.43912399999977,2169.3719309999997,3.4390098600000005,321.0518739999993,1.1171048969921105,23.068487630858566
POC94,3,Reef_2-9,1,1136.5798899999998,3212.4955350000005,4.417368397999999,952.0076239999994,1.9784556180954784,32.81469451999547
POC95,3,Reef_2-9,1,798.5891720000002,2665.968296,2.8447945600000004,774.3918320000005,1.6851357141513859,27.52105509497454
POC96,3,Reef_2-9,1,431.88977199999977,1263.923836,3.9174250520000005,793.9752250000006,0.7623306863072095,16.645286823509323
POC97,1,Reef_3-1,0.95,868.4972880000003,1260.379025,-0.4205226100000008,1470.4522139999997,0.8397214570657215,17.406972458517288
POC98,1,Reef_3-2,1,584.229797,699.4104960000001,3.722705682000001,772.0334339999999,0.6644264343419334,14.55399735891645
POC99,1,Reef_3-3,0.9,931.3203679999999,1155.7000050000001,2.9241287499999995,1400.1584119999998,0.6755493566087422,15.8135043755935
POC101,6,Reef_3-5,0.9,713.314034,987.295155,2.2416977200000012,1081.8297810000004,0.6541563701271798,15.677072283289139
POC102,6,Reef_3-5,0.9,275.6817699999999,956.4720889999999,1.0980811399999997,-133.13968700000032,0.5722867165325533,15.127226908185117
POC103,6,Reef_3-5,1,836.2118649999998,1944.379788,2.740469290000002,1001.3858220000006,1.1318676337246178,21.214792857703646
POC105,6,Reef_3-5,0.95,370.82188099999985,1638.3389119999997,3.866516650000001,1046.207812,0.9326223678375687,19.933646547719203
POC106,6,Reef_3-5,0.8,333.070477,789.0052090000001,4.028929319999999,930.4935700000001,0.6149030432504126,14.263226734174049
POC107,1,Reef_3-6,1,444.419768,1077.5303718999999,-0.3618210140000002,358.2242491000004,1.071691959147128,18.10356982252732
POC108,1,Reef_3-7,1,1145.5115230000001,2352.8315091,3.7119580779999994,947.3815549000001,1.530911531415858,27.7082587824135
POC109,3,Reef_3-8,1,749.8864059999999,2129.651014,2.41004749,443.281031,1.1532083173118508,24.268075983160124
POC111,3,Reef_3-8,0.99,367.88731400000006,1028.308843,1.5700181180000001,566.8024350000003,0.6183057942793876,15.932072014160983
POC112,3,Reef_3-9,1,386.26328699999976,2335.3635962,3.1030981900000008,145.88244480000003,1.2236418766353987,27.885321024420023
POC113,3,Reef_3-9,1,1282.330768,3565.3817563,7.506397269999999,1169.3761677000007,2.699037059589212,40.01191140899918
