species,term,estimate,std.error,df,statistic,p.value,conf.low,conf.high,loading,sign,p_adj_hochberg
Harpiliopsis spinigera,sqrt_abund,0.45459900527281144,0.30761061854142746,39.789402931282744,1.4778391182604391,0.14732350734872945,-0.16720776380721453,1.0764057743528375,0.21184575554843027,+,0.9622448410662261
Caracanthus maculatus,sqrt_abund,1.4221512754863206,0.3942333082331572,40.085552599338726,3.6073848804404745,8.479723819505351e-4,0.6254290065301568,2.2188735444424843,0.21081202291427484,+,0.0169594476390107
Periclimenes watamuae,sqrt_abund,0.21237481813691064,0.12935238357757697,41.8895100048042,1.6418315013850697,0.10811255937292599,-0.048689260894901304,0.47343889716872256,0.17673564403762065,+,0.9622448410662261
Dascyllus flavicaudus,sqrt_abund,0.3205959628028429,0.20352387385465465,30.95768340772018,1.575225337111039,0.12536996210332862,-0.09451671277673557,0.7357086383824214,0.17087491741229044,+,0.9622448410662261
Halichoeres trimaculatus,sqrt_abund,0.6317843538905881,0.5320158563837938,40.14893705060697,1.1875291803987544,0.24199734358926014,-0.44333556380671846,1.7069042715878946,0.14295996085246063,+,0.9622448410662261
Calcinus latens,sqrt_abund,0.453427200508956,0.25137266234011285,41.821748831894595,1.8038047426790542,0.07846820668125505,-0.0539274344517362,0.9607818354696482,0.14075603840128637,+,0.9622448410662261
Alpheus lottini,sqrt_abund,-0.279138522387451,0.30303097394516504,38.164447474823994,-0.9211550844236884,0.3627560053170642,-0.8925058636394578,0.33422881886455585,-0.12586189307476092,-,0.9622448410662261
Paragobiodon modestus,sqrt_abund,-0.19373168652522654,0.26626825601234994,41.9871781491241,-0.7275808593429964,0.4709081428169424,-0.7310876435621475,0.3436242705116944,-0.15404040336862884,-,0.9622448410662261
Cerithium zebrum,sqrt_abund,-0.11977071494352577,0.2869150793260022,41.964518914494974,-0.4174430818515412,0.6784824355474133,-0.6988032910310868,0.45926186114403533,-0.1787670741097779,-,0.9622448410662261
Zafra hahajimana,sqrt_abund,0.5581926410455045,0.4526889351572234,37.06546262259756,1.2330600500576374,0.22531664876981794,-0.35898758915334505,1.4753728712443541,-0.1960562930415155,-,0.9622448410662261
Apataxia cerithiiformis,sqrt_abund,-0.29413757524989453,0.20714659470460567,38.08419648817996,-1.4199488804985638,0.16375729591943577,-0.7134534894908059,0.12517833899101682,-0.1993041968692959,-,0.9622448410662261
Diala albugo,sqrt_abund,-0.09917066545925406,0.2664394960634577,38.8031378301967,-0.3722070748686398,0.7117638189005531,-0.6381828469298543,0.4398415160113462,-0.20226188541300297,-,0.9622448410662261
Luniella pugil,sqrt_abund,-0.9168362992043735,0.3540434750274895,38.54195911987894,-2.5896150158767544,0.013487619502550403,-1.6332290255309598,-0.20044357287778714,-0.21009032918980447,-,0.25626477054845764
Alpheus diadema,sqrt_abund,-0.9949772626829346,0.47383901091680464,39.05831801591432,-2.0998213312108023,0.0422542488472355,-1.953361375747756,-0.03659314961811333,-0.22532392451864347,-,0.760576479250239
Diala semistriata,sqrt_abund,-0.06958478308056532,0.29696884826756376,40.42520714764845,-0.23431677593964548,0.8159217829604177,-0.6695846210911736,0.5304150549300428,-0.23146373026198075,-,0.9622448410662261
Mitrella moleculina,sqrt_abund,-0.34132576711326695,0.4270680302637133,38.00257787573991,-0.7992304338549979,0.4291240681354752,-1.2058778692534773,0.5232263350269433,-0.23947037334357515,-,0.9622448410662261
Strigatella assimilis,sqrt_abund,0.2634623308368962,0.43543792043527907,40.95719517068336,0.6050514171423793,0.5484827447074734,-0.6159503014201692,1.1428749630939614,-0.2513772722371202,-,0.9622448410662261
Trapezia serenei,sqrt_abund,-0.023161394281325888,0.4863798521604681,41.99964742235903,-0.04761997064320091,0.9622448410662261,-1.0047159186646846,0.9583931301020328,-0.26468246637290277,-,0.9622448410662261
Stomatolina rubra,sqrt_abund,-0.14616985620978382,0.47239473489591083,40.9308340052431,-0.30942312733860466,0.7585694370923485,-1.100239339101986,0.8078996266824184,-0.2717421086441631,-,0.9622448410662261
Galathea mauritiana,sqrt_abund,-0.34294115573393885,0.29936570324654066,41.069402744233166,-1.1455592675274224,0.2586091535591894,-0.9474914326101771,0.26160912114229945,-0.2906428265753564,-,0.9622448410662261
