feature,loading
Mitrella moleculina,-0.24724771395955805
Periclimenes watamuae,0.24413253363963103
Stomatolina rubra,-0.24173522586432375
Zafra hahajimana,-0.24155101580391258
Caracanthus maculatus,0.2394979274506034
Harpiliopsis spinigera,0.23744617699676135
Diala semistriata,-0.23581843565762636
Galathea mauritiana,-0.22084171612636025
Luniella pugil,-0.20843727636533085
Diala albugo,-0.196249932479457
Apataxia cerithiiformis,-0.19401597339157195
Cerithium zebrum,-0.1931033610899121
Dascyllus flavicaudus,0.18766775901935862
Menaethius monoceros,-0.18680397157663023
Strigatella assimilis,-0.18219578309418816
Xanthias lamarckii,-0.17411468411721195
Hargeria rapax,-0.1650919696077014
Alpheus diadema,-0.16328558306077226
Trapezia serenei,-0.1568622352042291
Dascyllus aruanus,0.15260836192589494
Trapezia tigrina,-0.138533432993952
Carinomitra typha,-0.13066067559369093
Fennera chacei,0.12773726488255113
Athanas djiboutensis,-0.11886136614879494
Alpheus lottini,-0.11719904646566681
Chlorodiella barbata,-0.11040446443170267
Macteola interrupta,-0.09765471121400564
Halichoeres trimaculatus,0.09412913413300933
Morula zebrina,-0.08716702987187044
Synalpheus charon,0.08409060483353024
Pascula muricata,-0.07783117163533627
Galeropsis monodonta,-0.07300970772562324
Calcinus latens,0.07293099919167961
Vexillum interruptum,0.06878139012145737
Cellana taitensis,-0.06412121535340691
Harpiliopsis beaupresii,-0.0205324041155517
Paragobiodon modestus,-0.018569316271452977
Coralliogalathea humilis,-0.0043014036343854345
