feature,loading
Fennera chacei,-0.53012355407746925
Galeropsis monodonta,-0.5230523201345066
Trapezia serenei,-0.2713552175895757
Harpiliopsis spinigera,-0.2575103637687048
Periclimenes watamuae,-0.2307162754477181
Dascyllus aruanus,-0.19024865168233712
Calcinus latens,-0.17413066170188882
Paragobiodon modestus,-0.17116149517353282
Synalpheus charon,-0.14510949622930636
Alpheus lottini,-0.1403929035627055
Dascyllus flavicaudus,-0.1321127543143356
Apataxia cerithiiformis,-0.12662851053225868
Cerithium zebrum,-0.12113973795267423
Diala albugo,-0.10725997120924334
Athanas djiboutensis,-0.09492574601701534
Galathea mauritiana,-0.08494321795837222
Luniella pugil,-0.0834664793712452
Hargeria rapax,-0.07180748182289837
Diala semistriata,-0.06440774471874983
Strigatella assimilis,-0.06159224159619521
Caracanthus maculatus,-0.061488869744159916
Harpiliopsis beaupresii,-0.04178672197137801
Chlorodiella barbata,-0.04097104971559436
Carinomitra typha,-0.0378406876930297
Morula zebrina,-0.03429373321370171
Stomatolina rubra,-0.03287973380489704
Menaethius monoceros,-0.031627088192165975
Xanthias lamarckii,-0.030986614811975535
Cellana taitensis,-0.030183916102093516
Mitrella moleculina,-0.029791428324578872
Trapezia tigrina,-0.029471757450426787
Zafra hahajimana,-0.02853745755663299
Coralliogalathea humilis,-0.027747454788558078
Halichoeres trimaculatus,-0.026945819039152188
Pascula muricata,-0.022078387609844104
Alpheus diadema,-0.02202843473759016
Vexillum interruptum,-0.02138185402412089
Macteola interrupta,-0.02022253524503136
