feature,loading
Stomatolina rubra,0.2868450344571922
Galathea mauritiana,0.26631550079424393
Mitrella moleculina,0.2556016515106806
Caracanthus maculatus,-0.24725370110074427
Trapezia serenei,0.23243857217414063
Apataxia cerithiiformis,0.22543901142617928
Zafra hahajimana,0.22460595638411104
Diala semistriata,0.22198705513896014
Harpiliopsis spinigera,-0.22036170721948373
Luniella pugil,0.2169848953167801
Periclimenes watamuae,-0.20039261834502062
Cerithium zebrum,0.1949295118154272
Alpheus diadema,0.1883041438193458
Diala albugo,0.1847462428267816
Strigatella assimilis,0.18447808791323017
Dascyllus flavicaudus,-0.16458647870294155
Dascyllus aruanus,-0.14670297165472668
Halichoeres trimaculatus,-0.13994990234731097
Calcinus latens,-0.13617385725195302
Menaethius monoceros,0.1289157584899808
Carinomitra typha,0.12513774564521238
Xanthias lamarckii,0.12474189849593866
Hargeria rapax,0.12343676562224132
Morula zebrina,0.11824166257674995
Trapezia tigrina,0.10604326582007577
Macteola interrupta,0.10074270152592192
Alpheus lottini,0.09237821070809027
Athanas djiboutensis,0.0916869307293439
Chlorodiella barbata,0.0910003294163272
Galeropsis monodonta,0.0823396750534558
Vexillum interruptum,-0.07493374113755115
Paragobiodon modestus,0.06771719139245527
Fennera chacei,-0.06447102959734594
Coralliogalathea humilis,0.057314141003596754
Pascula muricata,0.0418747888590399
Synalpheus charon,-0.027155735471331884
Cellana taitensis,0.02483272256280672
Harpiliopsis beaupresii,-0.019818796367542715
