iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
1,Bootstrap,Jaccard (incidence),2,2.5639779988765605,0.2427095171108109,0.004,19,3
1,Bootstrap,Gower (sqrt→z),2,9.214882117568532,0.5352858099541878,0.001,19,3
1,Bootstrap,Gower (prop→z),2,2.317371542760908,0.22460871290293613,0.003,19,3
2,Bootstrap,Jaccard (incidence),2,1.8689900310736451,0.19948682033760975,0.033,18,3
2,Bootstrap,Gower (sqrt→z),2,8.628688374075672,0.5349900856132188,0.001,18,3
2,Bootstrap,Gower (prop→z),2,2.158201089729813,0.22345787478216483,0.004,18,3
3,Bootstrap,Jaccard (incidence),2,1.6270299005007411,0.18859676148871382,0.091,17,3
3,Bootstrap,Gower (sqrt→z),2,7.585508188995046,0.5200715731467216,0.001,17,3
3,Bootstrap,Gower (prop→z),2,1.9567565137135938,0.21846708802652218,0.011,17,3
4,Bootstrap,Jaccard (incidence),2,1.2733398642355007,0.13731189440671657,0.237,19,3
4,Bootstrap,Gower (sqrt→z),2,7.777103407902903,0.4929360736779652,0.001,19,3
4,Bootstrap,Gower (prop→z),2,1.3621585477313647,0.14549620590023468,0.152,19,3
5,Bootstrap,Jaccard (incidence),2,1.596599743718054,0.17551610367606169,0.119,18,3
5,Bootstrap,Gower (sqrt→z),2,7.110127713214257,0.4866574647929627,0.001,18,3
5,Bootstrap,Gower (prop→z),2,1.4074450374780594,0.15800771506938707,0.122,18,3
6,Bootstrap,Jaccard (incidence),2,2.3882330736842183,0.22989791013971,0.008,19,3
6,Bootstrap,Gower (sqrt→z),2,9.256498960635692,0.5364065435144733,0.001,19,3
6,Bootstrap,Gower (prop→z),2,2.1851533903098432,0.21454300260109962,0.005,19,3
7,Bootstrap,Jaccard (incidence),2,2.08565086139718,0.20679387875501484,0.027,19,3
7,Bootstrap,Gower (sqrt→z),2,8.05691076584162,0.5017721580032285,0.001,19,3
7,Bootstrap,Gower (prop→z),2,1.558913426333437,0.16308479393053754,0.086,19,3
8,Bootstrap,Jaccard (incidence),2,1.7094903754396293,0.18562268982859154,0.065,18,3
8,Bootstrap,Gower (sqrt→z),2,7.869219173803225,0.5120116438456601,0.001,18,3
8,Bootstrap,Gower (prop→z),2,1.7873889758682302,0.1924533343561328,0.039,18,3
9,Bootstrap,Jaccard (incidence),2,2.038917295449918,0.213747245342245,0.042,18,3
9,Bootstrap,Gower (sqrt→z),2,7.264689113857426,0.4920312956023666,0.001,18,3
9,Bootstrap,Gower (prop→z),2,1.5824043010924633,0.1742274675993147,0.08,18,3
10,Bootstrap,Jaccard (incidence),2,1.8589777535797782,0.20984111319487098,0.061,17,3
10,Bootstrap,Gower (sqrt→z),2,6.928580576983186,0.49743622752433103,0.001,17,3
10,Bootstrap,Gower (prop→z),2,1.6363663477000499,0.18947393867049545,0.056,17,3
11,Bootstrap,Jaccard (incidence),2,1.3241401511874618,0.15005883049231405,0.177,18,3
11,Bootstrap,Gower (sqrt→z),2,7.619448571591476,0.5039501629648024,0.001,18,3
11,Bootstrap,Gower (prop→z),2,1.2583255535929307,0.14367193202549172,0.205,18,3
12,Bootstrap,Jaccard (incidence),2,1.876972209731829,0.19003518182246573,0.047,19,3
12,Bootstrap,Gower (sqrt→z),2,7.843601552863339,0.4950643025635672,0.001,19,3
12,Bootstrap,Gower (prop→z),2,1.5696648627025547,0.16402506098413858,0.094,19,3
13,Bootstrap,Jaccard (incidence),2,2.082941043970301,0.21735926730770322,0.019,18,3
13,Bootstrap,Gower (sqrt→z),2,9.213417199297997,0.5512587335930907,0.001,18,3
13,Bootstrap,Gower (prop→z),2,1.563570933053604,0.17251157900154726,0.079,18,3
14,Bootstrap,Jaccard (incidence),2,1.846074366344593,0.17020668529371036,0.041,21,3
14,Bootstrap,Gower (sqrt→z),2,9.231595512464677,0.5063514877868569,0.001,21,3
14,Bootstrap,Gower (prop→z),2,1.5919391009911226,0.15029722941308823,0.086,21,3
15,Bootstrap,Jaccard (incidence),2,1.6293490125155607,0.18881482370830485,0.087,17,3
15,Bootstrap,Gower (sqrt→z),2,6.667331950780372,0.48782981014810883,0.001,17,3
15,Bootstrap,Gower (prop→z),2,1.4892306864559115,0.17542587090157588,0.105,17,3
16,Bootstrap,Jaccard (incidence),2,1.247524860439276,0.17213115987347752,0.25,15,3
16,Bootstrap,Gower (sqrt→z),2,6.4795947283071795,0.519215156371197,0.001,15,3
16,Bootstrap,Gower (prop→z),2,1.362830982013625,0.18509605684862687,0.133,15,3
17,Bootstrap,Jaccard (incidence),2,1.4352979519018547,0.16063235491731478,0.156,18,3
17,Bootstrap,Gower (sqrt→z),2,7.1684032131631765,0.4886969023820106,0.001,18,3
17,Bootstrap,Gower (prop→z),2,1.6115346796084453,0.1768675350833103,0.064,18,3
18,Bootstrap,Jaccard (incidence),2,1.8211043120428816,0.18542765194030156,0.058,19,3
18,Bootstrap,Gower (sqrt→z),2,7.814371266174729,0.4941310112586546,0.001,19,3
18,Bootstrap,Gower (prop→z),2,1.442279473533755,0.1527469587800693,0.105,19,3
19,Bootstrap,Jaccard (incidence),2,1.6351111855242217,0.16970340601578224,0.092,19,3
19,Bootstrap,Gower (sqrt→z),2,7.731923978566313,0.491479871699135,0.001,19,3
19,Bootstrap,Gower (prop→z),2,1.6135076540957518,0.16783755858438734,0.057,19,3
20,Bootstrap,Jaccard (incidence),2,1.3274149071547765,0.15037413796862356,0.189,18,3
20,Bootstrap,Gower (sqrt→z),2,6.735283317657804,0.4731400961513135,0.001,18,3
20,Bootstrap,Gower (prop→z),2,1.2878610219384625,0.14654999876800293,0.175,18,3
21,Bootstrap,Jaccard (incidence),2,2.281254717416136,0.25978687452166177,0.023,16,3
21,Bootstrap,Gower (sqrt→z),2,8.859192245248268,0.5768006613752146,0.001,16,3
21,Bootstrap,Gower (prop→z),2,2.3708871623101624,0.267266071468407,0.004,16,3
22,Bootstrap,Jaccard (incidence),2,1.5393462811562315,0.1802651198901614,0.136,17,3
22,Bootstrap,Gower (sqrt→z),2,6.984943765221791,0.49946169841541843,0.001,17,3
22,Bootstrap,Gower (prop→z),2,1.5085252582143627,0.17729573720874736,0.091,17,3
23,Bootstrap,Jaccard (incidence),2,1.5477060510716216,0.17106060280200078,0.113,18,3
23,Bootstrap,Gower (sqrt→z),2,7.560679869500913,0.5020145129578046,0.001,18,3
23,Bootstrap,Gower (prop→z),2,1.3048287572065003,0.14819467739659734,0.194,18,3
24,Bootstrap,Jaccard (incidence),2,1.6623612618476833,0.18143371717613885,0.094,18,3
24,Bootstrap,Gower (sqrt→z),2,7.597904452667043,0.5032423192560921,0.001,18,3
24,Bootstrap,Gower (prop→z),2,1.2694507089500893,0.14475829229013049,0.224,18,3
25,Bootstrap,Jaccard (incidence),2,2.5182869885009715,0.2394198780898513,0.002,19,3
25,Bootstrap,Gower (sqrt→z),2,9.687147435354257,0.547694164407254,0.001,19,3
25,Bootstrap,Gower (prop→z),2,2.4779547433662206,0.23649221666423573,0.002,19,3
26,Bootstrap,Jaccard (incidence),2,1.7880392188584595,0.18267593527960865,0.044,19,3
26,Bootstrap,Gower (sqrt→z),2,8.26071507398402,0.5080167161406434,0.001,19,3
26,Bootstrap,Gower (prop→z),2,1.3435098123812048,0.14379069957211396,0.161,19,3
27,Bootstrap,Jaccard (incidence),2,1.832280280424186,0.18635354446437094,0.063,19,3
27,Bootstrap,Gower (sqrt→z),2,7.648622366808367,0.4887728892373004,0.001,19,3
27,Bootstrap,Gower (prop→z),2,1.3583043261931491,0.14514427815639241,0.177,19,3
28,Bootstrap,Jaccard (incidence),2,1.9233801508703523,0.22833828183233756,0.032,16,3
28,Bootstrap,Gower (sqrt→z),2,6.7065562311379585,0.5078202154870225,0.001,16,3
28,Bootstrap,Gower (prop→z),2,1.488309364111738,0.18631093217272152,0.106,16,3
29,Bootstrap,Jaccard (incidence),2,2.9780437199492242,0.3142044717182606,0.006,16,3
29,Bootstrap,Gower (sqrt→z),2,7.947210812542858,0.5500861665037243,0.001,16,3
29,Bootstrap,Gower (prop→z),2,2.3938249544751278,0.2691558431527956,0.004,16,3
