iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
1,Rarefied,Jaccard (incidence),2,2.2616868965721006,0.42984064636106556,0.016,9,3
1,Rarefied,Gower (sqrt→z),2,4.497985234331906,0.5998925169572824,0.002,9,3
1,Rarefied,Gower (prop→z),2,2.795449868927525,0.48235252347111346,0.015,9,3
2,Rarefied,Jaccard (incidence),2,2.113015635116743,0.4132621110337164,0.022,9,3
2,Rarefied,Gower (sqrt→z),2,5.177147975998658,0.6331239193902914,0.006,9,3
2,Rarefied,Gower (prop→z),2,1.3949177475494279,0.31739336835762705,0.152,9,3
3,Rarefied,Jaccard (incidence),2,2.0620763992906848,0.4073578185385804,0.075,9,3
3,Rarefied,Gower (sqrt→z),2,4.8002657625030185,0.61539771959803935,0.011,9,3
3,Rarefied,Gower (prop→z),2,1.9059185812735877,0.3884937244064101,0.062,9,3
4,Rarefied,Jaccard (incidence),2,3.1632719265405473,0.5132455559714524,0.01,9,3
4,Rarefied,Gower (sqrt→z),2,6.731552580490981,0.6917244216494134,0.005,9,3
4,Rarefied,Gower (prop→z),2,2.3804323367500153,0.4424239889592006,0.007,9,3
5,Rarefied,Jaccard (incidence),2,3.313571218818875,0.524833110132995,0.007,9,3
5,Rarefied,Gower (sqrt→z),2,5.733231406678955,0.656484540452498,0.003,9,3
5,Rarefied,Gower (prop→z),2,2.7331095317652534,0.47672375987620713,0.011,9,3
6,Rarefied,Jaccard (incidence),2,3.308505089946625,0.5244515210456329,0.007,9,3
6,Rarefied,Gower (sqrt→z),2,5.608448128847128,0.651505131343369,0.007,9,3
6,Rarefied,Gower (prop→z),2,2.1431196176392646,0.4166964365925004,0.02,9,3
7,Rarefied,Jaccard (incidence),2,2.15427360891981,0.4179587217084669,0.09,9,3
7,Rarefied,Gower (sqrt→z),2,5.44793493519075,0.6448836286009746,0.011,9,3
7,Rarefied,Gower (prop→z),2,2.0591616579365493,0.40701637883150926,0.051,9,3
8,Rarefied,Jaccard (incidence),2,1.372882625500007,0.3139536875502183,0.193,9,3
8,Rarefied,Gower (sqrt→z),2,4.28859003171709,0.5883977577356974,0.017,9,3
8,Rarefied,Gower (prop→z),2,1.709785795317847,0.36302835619777046,0.081,9,3
9,Rarefied,Jaccard (incidence),2,2.2606600909183068,0.42972935940510154,0.068,9,3
9,Rarefied,Gower (sqrt→z),2,5.081088066818051,0.6287628627240963,0.01,9,3
9,Rarefied,Gower (prop→z),2,2.024798332875241,0.4029611138078512,0.034,9,3
10,Rarefied,Jaccard (incidence),2,2.5318335713698197,0.457684335348302,0.072,9,3
10,Rarefied,Gower (sqrt→z),2,5.247433538405814,0.6362504788877772,0.008,9,3
10,Rarefied,Gower (prop→z),2,2.7586433344446295,0.47904396473803784,0.008,9,3
11,Rarefied,Jaccard (incidence),2,1.7112167111071828,0.36322182061224473,0.126,9,3
11,Rarefied,Gower (sqrt→z),2,4.690153514907838,0.6098907526118544,0.018,9,3
11,Rarefied,Gower (prop→z),2,1.9314978976924766,0.39166556242399564,0.048,9,3
12,Rarefied,Jaccard (incidence),2,1.4157644395117568,0.3206159338672276,0.192,9,3
12,Rarefied,Gower (sqrt→z),2,4.914649718109563,0.6209560616263685,0.016,9,3
12,Rarefied,Gower (prop→z),2,1.6434500525695868,0.35392865950181507,0.106,9,3
13,Rarefied,Jaccard (incidence),2,2.1569823360289955,0.41826444138839636,0.123,9,3
13,Rarefied,Gower (sqrt→z),2,4.743662746255746,0.6125864337970328,0.016,9,3
13,Rarefied,Gower (prop→z),2,2.166975995989582,0.41938959996553293,0.033,9,3
14,Rarefied,Jaccard (incidence),2,1.2481822544231786,0.2938156085755454,0.374,9,3
14,Rarefied,Gower (sqrt→z),2,3.4906605737715624,0.5377974297218914,0.047,9,3
14,Rarefied,Gower (prop→z),2,1.125139152429487,0.2727518056613532,0.377,9,3
15,Rarefied,Jaccard (incidence),2,2.3039364147746957,0.43438235955409055,0.018,9,3
15,Rarefied,Gower (sqrt→z),2,5.103316489672792,0.6297812131831051,0.004,9,3
15,Rarefied,Gower (prop→z),2,2.000083684923404,0.40001004202273527,0.029,9,3
16,Rarefied,Jaccard (incidence),2,0.9256097215047626,0.2357875049152768,0.536,9,3
16,Rarefied,Gower (sqrt→z),2,3.1257417889288934,0.510263392847879,0.045,9,3
16,Rarefied,Gower (prop→z),2,0.955314921410528,0.24152689239466366,0.498,9,3
17,Rarefied,Jaccard (incidence),2,3.750652465227127,0.5555985120767042,0.011,9,3
17,Rarefied,Gower (sqrt→z),2,5.640582169096027,0.6528011722717222,0.004,9,3
17,Rarefied,Gower (prop→z),2,2.708095682814961,0.4744306741332439,0.008,9,3
18,Rarefied,Jaccard (incidence),2,2.6068118931378477,0.46493657051849974,0.11,9,3
18,Rarefied,Gower (sqrt→z),2,4.93856805813181,0.6220980940099172,0.018,9,3
18,Rarefied,Gower (prop→z),2,1.7983070525435756,0.3747794863586931,0.107,9,3
19,Rarefied,Jaccard (incidence),2,1.627601870058971,0.35171605418126206,0.169,9,3
19,Rarefied,Gower (sqrt→z),2,4.320331951955033,0.5901825190866116,0.025,9,3
19,Rarefied,Gower (prop→z),2,1.916553047954415,0.38981640780868165,0.072,9,3
20,Rarefied,Jaccard (incidence),2,3.0305324805657214,0.5025314912625143,0.004,9,3
20,Rarefied,Gower (sqrt→z),2,5.382704458937005,0.6421202710061398,0.004,9,3
20,Rarefied,Gower (prop→z),2,2.474077517005628,0.4519624556502392,0.016,9,3
21,Rarefied,Jaccard (incidence),2,2.873719746360579,0.4892504018669204,0.01,9,3
21,Rarefied,Gower (sqrt→z),2,5.734168671828476,0.6565214031558245,0.003,9,3
21,Rarefied,Gower (prop→z),2,1.8286337001900694,0.37870623736028863,0.047,9,3
22,Rarefied,Jaccard (incidence),2,3.4804580421519287,0.537069759500548,0.023,9,3
22,Rarefied,Gower (sqrt→z),2,4.858030943826292,0.6182249699134912,0.004,9,3
22,Rarefied,Gower (prop→z),2,2.351807684843471,0.43944174068584,0.008,9,3
23,Rarefied,Jaccard (incidence),2,1.7590827824737179,0.3696264307382707,0.132,9,3
23,Rarefied,Gower (sqrt→z),2,4.040654394676698,0.5739032436717473,0.018,9,3
23,Rarefied,Gower (prop→z),2,1.8903828406864316,0.3865510947239237,0.079,9,3
24,Rarefied,Jaccard (incidence),2,3.0653747030863125,0.5053891726634009,0.008,9,3
24,Rarefied,Gower (sqrt→z),2,5.964344531940429,0.6653408412281743,0.005,9,3
24,Rarefied,Gower (prop→z),2,3.157501528198316,0.5127894022824873,0.009,9,3
25,Rarefied,Jaccard (incidence),2,1.9240599764983644,0.3907466573684216,0.029,9,3
25,Rarefied,Gower (sqrt→z),2,5.42975890342155,0.6441179357119773,0.006,9,3
25,Rarefied,Gower (prop→z),2,2.0035705616582984,0.40042816164348627,0.027,9,3
26,Rarefied,Jaccard (incidence),2,0.9133331988592535,0.23339009290736917,0.604,9,3
26,Rarefied,Gower (sqrt→z),2,3.359710659760442,0.5282804265008805,0.009,9,3
26,Rarefied,Gower (prop→z),2,1.2573204742422182,0.29533141370242155,0.245,9,3
27,Rarefied,Jaccard (incidence),2,1.5535389484090447,0.34117177123341264,0.136,9,3
27,Rarefied,Gower (sqrt→z),2,4.972435968881183,0.6237034688381442,0.011,9,3
27,Rarefied,Gower (prop→z),2,1.719508278547866,0.3643405577576267,0.076,9,3
28,Rarefied,Jaccard (incidence),2,2.2116974064448427,0.4243717994275403,0.04,9,3
28,Rarefied,Gower (sqrt→z),2,4.739645747426076,0.6123853600149993,0.003,9,3
28,Rarefied,Gower (prop→z),2,1.5429740074024012,0.3396396292138701,0.111,9,3
29,Rarefied,Jaccard (incidence),2,1.4962279374323872,0.3327740404297257,0.181,9,3
29,Rarefied,Gower (sqrt→z),2,5.242968890201546,0.636053460839078,0.006,9,3
29,Rarefied,Gower (prop→z),2,1.6324182579142092,0.3523900837592375,0.104,9,3
30,Rarefied,Jaccard (incidence),2,3.502941691563143,0.5386703214804812,0.003,9,3
30,Rarefied,Gower (sqrt→z),2,6.274367292366111,0.676527799101794,0.005,9,3
30,Rarefied,Gower (prop→z),2,3.123430093026771,0.5100785091975927,0.007,9,3
31,Rarefied,Jaccard (incidence),2,1.7046278565683508,0.362330009628379,0.147,9,3
31,Rarefied,Gower (sqrt→z),2,4.3005040812305815,0.5890694715570495,0.007,9,3
31,Rarefied,Gower (prop→z),2,1.7847620051055493,0.3730095672890586,0.057,9,3
32,Rarefied,Jaccard (incidence),2,3.5445873822104,0.5416059371207044,0.014,9,3
32,Rarefied,Gower (sqrt→z),2,6.748594710777194,0.6922633375369004,0.001,9,3
32,Rarefied,Gower (prop→z),2,2.61331375646558,0.4655563308670371,0.004,9,3
33,Rarefied,Jaccard (incidence),2,1.7678912235946955,0.3707910144522582,0.123,9,3
33,Rarefied,Gower (sqrt→z),2,5.550374515166064,0.6491381757981705,0.017,9,3
33,Rarefied,Gower (prop→z),2,2.2591487797168743,0.4295654818570269,0.019,9,3
34,Rarefied,Jaccard (incidence),2,3.618277755491646,0.5467098676070689,0.008,9,3
34,Rarefied,Gower (sqrt→z),2,5.612850602805765,0.6516832651175087,0.006,9,3
34,Rarefied,Gower (prop→z),2,1.8751636556236995,0.38463604261994816,0.041,9,3
35,Rarefied,Jaccard (incidence),2,1.5689141341917767,0.34338884209941756,0.159,9,3
35,Rarefied,Gower (sqrt→z),2,5.730764776128103,0.6563874898791592,0.008,9,3
35,Rarefied,Gower (prop→z),2,1.7632963900133123,0.37018405860912307,0.047,9,3
36,Rarefied,Jaccard (incidence),2,0.9729411400202073,0.24489190897382848,0.427,9,3
36,Rarefied,Gower (sqrt→z),2,3.8467897552800197,0.5618384517084816,0.024,9,3
36,Rarefied,Gower (prop→z),2,0.9282998782679465,0.2363108487219793,0.586,9,3
37,Rarefied,Jaccard (incidence),2,1.7388089464171586,0.3669295314663001,0.115,9,3
37,Rarefied,Gower (sqrt→z),2,6.11151479205002,0.6707462953780683,0.004,9,3
37,Rarefied,Gower (prop→z),2,2.147400743902817,0.4171815739130958,0.019,9,3
38,Rarefied,Jaccard (incidence),2,2.2744466743341074,0.4312199581809695,0.017,9,3
38,Rarefied,Gower (sqrt→z),2,4.8723936066733895,0.6189214932727811,0.005,9,3
38,Rarefied,Gower (prop→z),2,2.0083411257943284,0.4009992680911493,0.009,9,3
39,Rarefied,Jaccard (incidence),2,2.6432346650461405,0.46838999650646795,0.009,9,3
39,Rarefied,Gower (sqrt→z),2,6.598842725833324,0.6874623237730405,0.002,9,3
39,Rarefied,Gower (prop→z),2,2.141927093465631,0.41656115587239567,0.023,9,3
