iter,label,metric,df,F,R2,p,n_units,n_trt_lvls,n_each
1,N-sens (n=2/trt),Jaccard (incidence),2,1.606243208781912,0.517101559929619,0.4666666666666667,6,3,2
1,N-sens (n=2/trt),Gower (sqrt→z),2,2.3501939440537285,0.610409236055079,0.13333333333333333,6,3,2
1,N-sens (n=2/trt),Gower (prop→z),2,1.473311778161986,0.49551203778325054,0.3333333333333333,6,3,2
2,N-sens (n=2/trt),Jaccard (incidence),2,1.0192919692533413,0.40459461693732757,0.4666666666666667,6,3,2
2,N-sens (n=2/trt),Gower (sqrt→z),2,3.80267583816188,0.7171239491569676,0.2,6,3,2
2,N-sens (n=2/trt),Gower (prop→z),2,1.1399778393368811,0.43181341235168275,0.4666666666666667,6,3,2
3,N-sens (n=2/trt),Jaccard (incidence),2,4.0969089913832,0.7319949275020646,0.06666666666666667,6,3,2
3,N-sens (n=2/trt),Gower (sqrt→z),2,5.243528656994246,0.7775645249992031,0.06666666666666667,6,3,2
3,N-sens (n=2/trt),Gower (prop→z),2,2.5281316963915414,0.627618927816158,0.13333333333333333,6,3,2
4,N-sens (n=2/trt),Jaccard (incidence),2,1.7952284923279591,0.5447963613168735,0.2,6,3,2
4,N-sens (n=2/trt),Gower (sqrt→z),2,2.5856257308446886,0.6328591753582185,0.13333333333333333,6,3,2
4,N-sens (n=2/trt),Gower (prop→z),2,1.6610979891793949,0.5254813342912559,0.13333333333333333,6,3,2
5,N-sens (n=2/trt),Jaccard (incidence),2,1.9433830925567575,0.5643819001021375,0.2,6,3,2
5,N-sens (n=2/trt),Gower (sqrt→z),2,4.3083724417122315,0.7417520975018915,0.2,6,3,2
5,N-sens (n=2/trt),Gower (prop→z),2,2.204777303841294,0.5951173641544587,0.06666666666666667,6,3,2
6,N-sens (n=2/trt),Jaccard (incidence),2,2.2868746843644545,0.6038949991682276,0.13333333333333333,6,3,2
6,N-sens (n=2/trt),Gower (sqrt→z),2,3.6105711199997708,0.7064907297484067,0.06666666666666667,6,3,2
6,N-sens (n=2/trt),Gower (prop→z),2,1.6535361970364748,0.5243434968624683,0.06666666666666667,6,3,2
7,N-sens (n=2/trt),Jaccard (incidence),2,1.1041037754966943,0.42398608914351077,0.5333333333333333,6,3,2
7,N-sens (n=2/trt),Gower (sqrt→z),2,2.3346466653226647,0.6088296703931696,0.2,6,3,2
7,N-sens (n=2/trt),Gower (prop→z),2,1.385954443029191,0.48024127559492874,0.26666666666666666,6,3,2
8,N-sens (n=2/trt),Jaccard (incidence),2,1.8086208862542041,0.546638901352582,0.4,6,3,2
8,N-sens (n=2/trt),Gower (sqrt→z),2,3.426627548025449,0.6955320885579858,0.2,6,3,2
8,N-sens (n=2/trt),Gower (prop→z),2,1.5475642782836865,0.5078036546468635,0.2,6,3,2
9,N-sens (n=2/trt),Jaccard (incidence),2,1.5440546557856154,0.5072361801556164,0.3333333333333333,6,3,2
9,N-sens (n=2/trt),Gower (sqrt→z),2,3.551394279432398,0.7030522827910102,0.06666666666666667,6,3,2
9,N-sens (n=2/trt),Gower (prop→z),2,1.8407431947195323,0.5509981125245005,0.06666666666666667,6,3,2
10,N-sens (n=2/trt),Jaccard (incidence),2,0.9915373305725532,0.3979620607750231,0.4,6,3,2
10,N-sens (n=2/trt),Gower (sqrt→z),2,2.932354185787476,0.6615793916447807,0.2,6,3,2
10,N-sens (n=2/trt),Gower (prop→z),2,0.9786482726432467,0.39483144238113693,0.4666666666666667,6,3,2
11,N-sens (n=2/trt),Jaccard (incidence),2,2.6801943105187567,0.6411650060798605,0.06666666666666667,6,3,2
11,N-sens (n=2/trt),Gower (sqrt→z),2,4.385689952064998,0.7451445774044344,0.06666666666666667,6,3,2
11,N-sens (n=2/trt),Gower (prop→z),2,2.522152258817673,0.6270653362981015,0.13333333333333333,6,3,2
12,N-sens (n=2/trt),Jaccard (incidence),2,1.8938965754086603,0.558030138316933,0.13333333333333333,6,3,2
12,N-sens (n=2/trt),Gower (sqrt→z),2,4.469667234874882,0.7487297128997444,0.06666666666666667,6,3,2
12,N-sens (n=2/trt),Gower (prop→z),2,1.5184376974794191,0.5030541789043411,0.13333333333333333,6,3,2
13,N-sens (n=2/trt),Jaccard (incidence),2,2.543049877098888,0.6289929519552865,0.13333333333333333,6,3,2
13,N-sens (n=2/trt),Gower (sqrt→z),2,3.4480892574889612,0.696852679500528,0.06666666666666667,6,3,2
13,N-sens (n=2/trt),Gower (prop→z),2,1.663232950245228,0.5258016012119141,0.13333333333333333,6,3,2
14,N-sens (n=2/trt),Jaccard (incidence),2,1.8628595481542791,0.5539510412133383,0.26666666666666666,6,3,2
14,N-sens (n=2/trt),Gower (sqrt→z),2,2.8913754537936645,0.6584213725783421,0.06666666666666667,6,3,2
14,N-sens (n=2/trt),Gower (prop→z),2,1.9200185631906395,0.5614058893877452,0.13333333333333333,6,3,2
15,N-sens (n=2/trt),Jaccard (incidence),2,1.2110761640714787,0.44671417945436515,0.3333333333333333,6,3,2
15,N-sens (n=2/trt),Gower (sqrt→z),2,3.0564852355181427,0.6707988893923352,0.06666666666666667,6,3,2
15,N-sens (n=2/trt),Gower (prop→z),2,1.5400687653614384,0.506590108391294,0.2,6,3,2
16,N-sens (n=2/trt),Jaccard (incidence),2,0.69042589876776,0.3152016688426502,0.6666666666666666,6,3,2
16,N-sens (n=2/trt),Gower (sqrt→z),2,1.7306678890709335,0.5356997216970618,0.2,6,3,2
16,N-sens (n=2/trt),Gower (prop→z),2,0.6957851646258222,0.31687306018591715,0.7333333333333333,6,3,2
17,N-sens (n=2/trt),Jaccard (incidence),2,1.0162695596156368,0.40387944754649935,0.4666666666666667,6,3,2
17,N-sens (n=2/trt),Gower (sqrt→z),2,2.228921234910756,0.5977388886746224,0.06666666666666667,6,3,2
17,N-sens (n=2/trt),Gower (prop→z),2,1.054295430630768,0.4127539117001889,0.4,6,3,2
18,N-sens (n=2/trt),Jaccard (incidence),2,0.9966354523670987,0.39919142036622646,0.4,6,3,2
18,N-sens (n=2/trt),Gower (sqrt→z),2,3.688035954355085,0.7108732450589845,0.2,6,3,2
18,N-sens (n=2/trt),Gower (prop→z),2,1.6220297516861641,0.519543335809061,0.26666666666666666,6,3,2
19,N-sens (n=2/trt),Jaccard (incidence),2,4.708263272764288,0.7583865351554088,0.06666666666666667,6,3,2
19,N-sens (n=2/trt),Gower (sqrt→z),2,4.276230557384724,0.7403150748402348,0.06666666666666667,6,3,2
19,N-sens (n=2/trt),Gower (prop→z),2,2.845736318849965,0.6548340971600981,0.06666666666666667,6,3,2
20,N-sens (n=2/trt),Jaccard (incidence),2,1.4538883833095302,0.49219475980354976,0.26666666666666666,6,3,2
20,N-sens (n=2/trt),Gower (sqrt→z),2,2.6100841554384835,0.6350439691082255,0.13333333333333333,6,3,2
20,N-sens (n=2/trt),Gower (prop→z),2,0.8625014656923435,0.3650797589831686,0.7333333333333333,6,3,2
