analysis,min_prev,min_abund,n_species,var_pc1,chi_sq,df,p_value,effect_size_1v6,significant_05,significant_10,threshold_label
CAFI_PC1_treatment,5,5,52,0.12602,10.682655147012866,2,0.004789508063776116,-3.5759009647451183,TRUE,TRUE,5/5
CAFI_PC1_treatment,10,5,38,0.14728,13.617151752152722,2,0.001104264390029664,3.413384550511683,TRUE,TRUE,10/5
CAFI_PC1_treatment,15,5,26,0.17257,16.16831285860539,2,3.0838658087424515e-4,3.087898439780843,TRUE,TRUE,15/5
CAFI_PC1_treatment,20,5,22,0.18217,14.898862955735012,2,5.81772268602878e-4,2.8993113695969948,TRUE,TRUE,20/5
CAFI_PC1_treatment,25,5,19,0.19046,14.396639822766872,2,7.478411929780128e-4,2.572899336289045,TRUE,TRUE,25/5
CAFI_PC1_treatment,5,10,41,0.14034,12.336068959788463,2,0.0020953504090718113,3.4302582333670273,TRUE,TRUE,5/10
CAFI_PC1_treatment,10,10,38,0.14728,13.617151752152722,2,0.001104264390029664,3.413384550511683,TRUE,TRUE,10/10
CAFI_PC1_treatment,15,10,26,0.17257,16.16831285860539,2,3.0838658087424515e-4,3.087898439780843,TRUE,TRUE,15/10
CAFI_PC1_treatment,20,10,22,0.18217,14.898862955735012,2,5.81772268602878e-4,2.8993113695969948,TRUE,TRUE,20/10
CAFI_PC1_treatment,25,10,19,0.19046,14.396639822766872,2,7.478411929780128e-4,2.572899336289045,TRUE,TRUE,25/10
CAFI_PC1_treatment,5,20,31,0.16441,11.545391001924628,2,0.0031113595282577108,3.137237432134675,TRUE,TRUE,5/20
CAFI_PC1_treatment,10,20,31,0.16441,11.545391001924628,2,0.0031113595282577108,3.137237432134675,TRUE,TRUE,10/20
CAFI_PC1_treatment,15,20,24,0.17793,14.393598980779501,2,7.489790912507658e-4,2.9545882294969403,TRUE,TRUE,15/20
CAFI_PC1_treatment,20,20,22,0.18217,14.898862955735012,2,5.81772268602878e-4,2.8993113695969948,TRUE,TRUE,20/20
CAFI_PC1_treatment,25,20,19,0.19046,14.396639822766872,2,7.478411929780128e-4,2.572899336289045,TRUE,TRUE,25/20
CAFI_PC1_treatment,5,30,23,0.17963,12.856434666290369,2,0.0016153278607721334,2.7696566374071248,TRUE,TRUE,5/30
CAFI_PC1_treatment,10,30,23,0.17963,12.856434666290369,2,0.0016153278607721334,2.7696566374071248,TRUE,TRUE,10/30
CAFI_PC1_treatment,15,30,22,0.178,13.591895995402467,2,0.0011182973230489804,2.670774525943651,TRUE,TRUE,15/30
CAFI_PC1_treatment,20,30,21,0.17867,14.84452695396834,2,5.97794518874801e-4,2.708026951679612,TRUE,TRUE,20/30
CAFI_PC1_treatment,25,30,19,0.19046,14.396639822766872,2,7.478411929780128e-4,2.572899336289045,TRUE,TRUE,25/30
