min_prev,min_abund,n_species,transform,var_explained,chisq,p_value
5,5,46,sqrt,12.666,12.243821903692973,4.668011680713138e-4
5,5,46,hellinger,13.789000000000001,9.414277169402181,0.002153024184850722
10,5,30,sqrt,14.831,13.543550393771104,2.3309103795914418e-4
10,5,30,hellinger,15.950000000000001,17.28717959962683,3.213476522702248e-5
15,5,21,sqrt,17.982,13.242973904332736,2.7360348304192235e-4
15,5,21,hellinger,19.05,17.843092287997198,2.3988850820221583e-5
20,5,19,sqrt,18.011,15.231080955345211,9.512488968117347e-5
20,5,19,hellinger,19.128,28.73558495593607,8.296516042074863e-8
5,10,38,sqrt,13.858999999999998,11.669519804390506,6.353240648359544e-4
5,10,38,hellinger,14.908,10.44391396185217,0.001230542382442554
10,10,30,sqrt,14.831,13.543550393771104,2.3309103795914418e-4
10,10,30,hellinger,15.950000000000001,17.28717959962683,3.213476522702248e-5
15,10,21,sqrt,17.982,13.242973904332736,2.7360348304192235e-4
15,10,21,hellinger,19.05,17.843092287997198,2.3988850820221583e-5
20,10,19,sqrt,18.011,15.231080955345211,9.512488968117347e-5
20,10,19,hellinger,19.128,28.73558495593607,8.296516042074863e-8
5,20,23,sqrt,16.707,13.372962955598739,2.552777417105906e-4
5,20,23,hellinger,17.963,18.50392933330299,1.6955437887669588e-5
10,20,23,sqrt,16.707,13.372962955598739,2.552777417105906e-4
10,20,23,hellinger,17.963,18.50392933330299,1.6955437887669588e-5
15,20,21,sqrt,17.982,13.242973904332736,2.7360348304192235e-4
15,20,21,hellinger,19.05,17.843092287997198,2.3988850820221583e-5
20,20,19,sqrt,18.011,15.231080955345211,9.512488968117347e-5
20,20,19,hellinger,19.128,28.73558495593607,8.296516042074863e-8
5,30,19,sqrt,17.424,13.530089354993976,2.3476886883985282e-4
5,30,19,hellinger,19.046,21.752147496933453,3.1024239734460714e-6
10,30,19,sqrt,17.424,13.530089354993976,2.3476886883985282e-4
10,30,19,hellinger,19.046,21.752147496933453,3.1024239734460714e-6
15,30,19,sqrt,17.424,13.530089354993976,2.3476886883985282e-4
15,30,19,hellinger,19.046,21.752147496933453,3.1024239734460714e-6
20,30,18,sqrt,17.307,11.875313821323088,5.688288440499127e-4
20,30,18,hellinger,18.881,23.88812208419837,1.020997859572706e-6
