species,n_thresholds_tested,n_significant,prop_significant,median_estimate,median_p
Dascyllus aruanus,16,16,1,0.828117091051212,0.04816832121589097
Fennera chacei,16,16,1,0.2619422530738421,0.014185152256530829
Alpheus lottini,16,0,0,0.33066777858159246,0.6504076737593321
Apataxia cerithiiformis,16,0,0,-0.09035122620773335,0.742273891458602
Athanas djiboutensis,16,0,0,0.6101043759872852,0.24938562397174519
Calcinus latens,16,0,0,0.487907383802885,0.15229428260152794
Cerithium zebrum,16,0,0,-0.5247398994530565,0.23527403506067357
Dascyllus flavicaudus,16,0,0,-0.10801836089935091,0.8001888809256675
Diala albugo,16,0,0,0.01749625536089104,0.9767711547516811
Diala semistriata,12,0,0,-0.604900945166328,0.46838244971496745
Galathea mauritiana,16,0,0,-0.913870477495384,0.18247451678184573
Galeropsis monodonta,16,0,0,-0.12524432816510783,0.3833271516553477
Hargeria rapax,16,0,0,0.8486507187770183,0.3302704841813646
Harpiliopsis spinigera,16,0,0,0.388320249824154,0.21552763026959432
Luniella pugil,16,0,0,-0.39532385563406086,0.6881771833669137
Paragobiodon modestus,16,0,0,-0.14118958987519858,0.7865937190614374
Periclimenes watamuae,16,0,0,0.06011109440682077,0.7308907182204714
Strigatella assimilis,9,0,0,-0.49703850544775197,0.6927124575301089
Synalpheus charon,16,0,0,-0.1480780958488079,0.909277302592102
Trapezia serenei,16,0,0,0.038075771831445816,0.9376500331785032
