species_clean,metric,n,r,p_value,transform,species_original,norm_name,genus_lc,family_lc,taxon_group,genus_from_name_lc,taxon_from_family,species_label,Effect,p_BH,r_pc1_species
Alpheus_diadema,afdw_mg_cm2,44,-0.1855304915151425,0.2279166083228356,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.7899100567575673,-0.322824486437572
Alpheus_diadema,carb_mg_cm2,44,-0.2477358438188203,0.104937695015735,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.781803050278105,-0.322824486437572
Alpheus_diadema,growth_vol_b,44,-0.2220600584787617,0.14741204048246512,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.781803050278105,-0.322824486437572
Alpheus_diadema,PC1coral,44,-0.2860964747168432,0.059743651599527124,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.6485600371765998,-0.322824486437572
Alpheus_diadema,protein_mg_cm2,44,-0.32686010735044163,0.030341770945250316,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.6485600371765998,-0.322824486437572
Alpheus_diadema,zoox_cells_cm2,44,-0.07360655764715197,0.634901195788142,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.8884386927247954,-0.322824486437572
Alpheus_lottini,afdw_mg_cm2,44,-0.16414080371303585,0.28701875858382897,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.809884193197265,-0.1845636466069565
Alpheus_lottini,carb_mg_cm2,44,-0.04573508926355933,0.7681520529440873,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.9315886599534676,-0.1845636466069565
Alpheus_lottini,growth_vol_b,44,-0.12314594606708018,0.425811286232576,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.8825906660093394,-0.1845636466069565
Alpheus_lottini,PC1coral,44,-0.13145180495012232,0.3950193064886175,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.841723382050512,-0.1845636466069565
Alpheus_lottini,protein_mg_cm2,44,-0.15317578270113985,0.3208675762595874,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.809884193197265,-0.1845636466069565
Alpheus_lottini,zoox_cells_cm2,44,-0.024294319811588718,0.8756120957760675,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.9685568912729993,-0.1845636466069565
Apataxia_cerithiiformis,afdw_mg_cm2,44,-0.10597085452689708,0.4935796388187773,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.8884386927247954,-0.22902051979640287
Apataxia_cerithiiformis,carb_mg_cm2,44,-0.20893471334989866,0.17348379458070728,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.781803050278105,-0.22902051979640287
Apataxia_cerithiiformis,growth_vol_b,44,-0.05782573969936063,0.7092657488381136,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.8999384882924807,-0.22902051979640287
Apataxia_cerithiiformis,PC1coral,44,-0.17979778428668197,0.24286474116843682,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.7899100567575673,-0.22902051979640287
Apataxia_cerithiiformis,protein_mg_cm2,44,-0.11119279909043862,0.47240646440733836,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.8884386927247954,-0.22902051979640287
Apataxia_cerithiiformis,zoox_cells_cm2,44,-0.14280328718356108,0.35510557767040607,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.809884193197265,-0.22902051979640287
Athanas_djiboutensis,afdw_mg_cm2,44,0.3034421965236319,0.045247012370381944,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Positive,0.6485600371765998,-0.010185284896871498
Athanas_djiboutensis,carb_mg_cm2,44,-0.11411629197507381,0.4607668067075641,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Negative,0.8884386927247954,-0.010185284896871498
Athanas_djiboutensis,growth_vol_b,44,-0.043610694780538244,0.77864410748689,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Negative,0.9317520251630933,-0.010185284896871498
