species,n_zeros,prop_zeros,n_presences,prop_presences,total_count,mean_when_present
Macteola interrupta,37,0.8409090909090909,7,0.1590909090909091,8,1.1428571428571428
Pascula muricata,37,0.8409090909090909,7,0.1590909090909091,19,2.7142857142857144
Alpheus diadema,36,0.8181818181818182,8,0.18181818181818182,12,1.5
Coralliogalathea humilis,36,0.8181818181818182,8,0.18181818181818182,12,1.5
Vexillum interruptum,36,0.8181818181818182,8,0.18181818181818182,8,1
Zafra hahajimana,36,0.8181818181818182,8,0.18181818181818182,14,1.75
Mitrella moleculina,35,0.7954545454545454,9,0.20454545454545456,17,1.8888888888888888
Trapezia tigrina,35,0.7954545454545454,9,0.20454545454545456,13,1.4444444444444444
Halichoeres trimaculatus,34,0.7727272727272727,10,0.22727272727272727,12,1.2
Menaethius monoceros,34,0.7727272727272727,10,0.22727272727272727,18,1.8
Stomatolina rubra,34,0.7727272727272727,10,0.22727272727272727,15,1.5
Harpiliopsis beaupresii,33,0.75,11,0.25,24,2.1818181818181817
Morula zebrina,33,0.75,11,0.25,19,1.7272727272727273
Cellana taitensis,32,0.7272727272727273,12,0.2727272727272727,13,1.0833333333333333
Carinomitra typha,31,0.7045454545454546,13,0.29545454545454547,21,1.6153846153846154
Xanthias lamarckii,31,0.7045454545454546,13,0.29545454545454547,13,1
Chlorodiella barbata,30,0.6818181818181818,14,0.3181818181818182,19,1.3571428571428572
Diala semistriata,26,0.5909090909090909,18,0.4090909090909091,46,2.5555555555555554
Strigatella assimilis,25,0.5681818181818182,19,0.4318181818181818,28,1.4736842105263157
Athanas djiboutensis,24,0.5454545454545454,20,0.45454545454545453,74,3.7
Caracanthus maculatus,23,0.5227272727272727,21,0.4772727272727273,26,1.2380952380952381
Galathea mauritiana,23,0.5227272727272727,21,0.4772727272727273,54,2.5714285714285716
Hargeria rapax,22,0.5,22,0.5,39,1.7727272727272727
Dascyllus flavicaudus,19,0.4318181818181818,25,0.5681818181818182,106,4.24
Diala albugo,18,0.4090909090909091,26,0.5909090909090909,74,2.8461538461538463
Luniella pugil,18,0.4090909090909091,26,0.5909090909090909,39,1.5
Apataxia cerithiiformis,15,0.3409090909090909,29,0.6590909090909091,110,3.793103448275862
Cerithium zebrum,14,0.3181818181818182,30,0.6818181818181818,79,2.6333333333333333
Periclimenes watamuae,13,0.29545454545454547,31,0.7045454545454546,302,9.741935483870968
Dascyllus aruanus,12,0.2727272727272727,32,0.7272727272727273,168,5.25
Alpheus lottini,11,0.25,33,0.75,89,2.696969696969697
Paragobiodon modestus,10,0.22727272727272727,34,0.7727272727272727,136,4
Calcinus latens,8,0.18181818181818182,36,0.8181818181818182,150,4.166666666666667
Fennera chacei,3,0.06818181818181818,41,0.9318181818181818,1080,26.341463414634145
Synalpheus charon,3,0.06818181818181818,41,0.9318181818181818,78,1.9024390243902438
Galeropsis monodonta,0,0,44,1,974,22.136363636363637
Harpiliopsis spinigera,0,0,44,1,237,5.386363636363637
Trapezia serenei,0,0,44,1,257,5.840909090909091
